date,hour,dayofweek,is_weekend,day_type,month,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-27,0,4,False,Weekday,11,2.0,347.14,33.53,41.13,0.01,7.51,18.81,21.35,0.25
2020-11-27,1,4,False,Weekday,11,2.0,293.73,11.18,42.16,0.21,7.27,15.68,18.17,0.01
2020-11-27,2,4,False,Weekday,11,2.0,277.04,5.64,41.81,0.32,7.33,15.31,17.65,0.01
2020-11-27,3,4,False,Weekday,11,2.0,277.04,4.75,41.13,0.4,7.57,15.78,18.02,0.02
2020-11-27,4,4,False,Weekday,11,2.0,277.04,4.47,40.44,0.43,7.87,16.73,18.96,0.03
2020-11-27,5,4,False,Weekday,11,2.0,280.38,4.36,40.78,0.5,8.35,17.8,20.09,0.02
2020-11-27,6,4,False,Weekday,11,2.0,283.72,4.97,41.47,0.59,9.06,18.8,21.18,0.01
2020-11-27,7,4,False,Weekday,11,3.0,297.07,9.39,42.16,0.31,11.21,20.12,22.52,0.02
2020-11-27,8,4,False,Weekday,11,3.0,310.42,16.99,42.16,0.06,12.99,21.56,23.96,0.05
2020-11-27,9,4,False,Weekday,11,3.0,317.1,20.34,41.81,0.05,13.71,22.01,24.36,0.04
2020-11-27,10,4,False,Weekday,11,3.0,307.08,17.88,41.47,0.44,14.66,20.33,22.59,0.02
2020-11-27,11,4,False,Weekday,11,2.0,293.73,13.52,41.47,1.17,15.14,17.73,19.93,0.07
2020-11-27,12,4,False,Weekday,11,2.0,280.38,8.61,42.16,2.46,14.9,15.1,17.25,0.16
2020-11-27,13,4,False,Weekday,11,2.0,270.37,5.87,43.18,4.78,14.54,13.45,15.52,0.29
2020-11-27,14,4,False,Weekday,11,2.0,267.03,4.86,42.84,6.17,13.95,12.93,14.93,0.39
2020-11-27,15,4,False,Weekday,11,2.0,260.35,3.24,41.81,7.06,12.88,12.37,14.27,0.44
2020-11-27,16,4,False,Weekday,11,2.0,253.68,2.07,39.07,7.51,10.97,11.76,13.58,0.48
2020-11-27,17,4,False,Weekday,11,2.0,257.02,3.27,39.41,4.74,9.89,12.0,13.78,0.5
2020-11-27,18,4,False,Weekday,11,2.0,260.35,5.87,40.44,2.03,9.66,12.63,14.35,0.5
